Date,Type,Comments
20180126,WORKDAY,
20180127,WEEKEND,
20180128,WEEKEND,
20180129,WORKDAY,
20180130,WORKDAY,
20180131,WORKDAY,
20180201,WORKDAY,
20180202,WORKDAY,湿地日
20180203,WEEKEND,
20180204,WEEKEND,立春
20180205,WORKDAY,
20180206,WORKDAY,
20180207,WORKDAY,
20180208,WORKDAY,小年
20180209,WORKDAY,
20180210,WEEKEND,
20180211,WORKDAY,
20180212,WORKDAY,
20180213,WORKDAY,
20180214,WORKDAY,
20180215,HOLIDAY,春节
20180216,HOLIDAY,春节
20180217,HOLIDAY,春节
20180218,HOLIDAY,春节
20180219,HOLIDAY,春节
20180220,HOLIDAY,春节
20180221,HOLIDAY,春节
20180222,WORKDAY,
20180223,WORKDAY,
20180224,WORKDAY,
20180225,WEEKEND,
20180226,WORKDAY,
20180227,WORKDAY,
20180228,WORKDAY,
20180301,WORKDAY,
20180302,WORKDAY,元宵节
20180303,WEEKEND,
20180304,WEEKEND,
20180305,WORKDAY,惊蛰
20180306,WORKDAY,
20180307,WORKDAY,
20180308,WORKDAY,妇女节
20180309,WORKDAY,
20180310,WEEKEND,
20180311,WEEKEND,
20180312,WORKDAY,植树节
20180313,WORKDAY,
20180314,WORKDAY,
20180315,WORKDAY,
20180316,WORKDAY,
20180317,WEEKEND,
20180318,WEEKEND,
20180319,WORKDAY,
20180320,WORKDAY,
20180321,WORKDAY,春分
20180322,WORKDAY,
20180323,WORKDAY,
20180324,WEEKEND,
20180325,WEEKEND,
20180326,WORKDAY,
20180327,WORKDAY,
20180328,WORKDAY,
20180329,WORKDAY,
20180330,WORKDAY,
20180331,WEEKEND,
20180401,WEEKEND,愚人节
20180402,WORKDAY,
20180403,WORKDAY,
20180404,WORKDAY,
20180405,HOLIDAY,清明
20180406,HOLIDAY,
20180407,HOLIDAY,
20180408,WORKDAY,
20180409,WORKDAY,
20180410,WORKDAY,
20180411,WORKDAY,
20180412,WORKDAY,
20180413,WORKDAY,
20180414,WEEKEND,
20180415,WEEKEND,
20180416,WORKDAY,
20180417,WORKDAY,
20180418,WORKDAY,
20180419,WORKDAY,
20180420,WORKDAY,谷雨
20180421,WEEKEND,
20180422,WEEKEND,
20180423,WORKDAY,
20180424,WORKDAY,
20180425,WORKDAY,
20180426,WORKDAY,
20180427,WORKDAY,
20180428,WORKDAY,
20180429,HOLIDAY,五一
20180430,HOLIDAY,五一
20180501,HOLIDAY,五一
20180502,WORKDAY,
20180503,WORKDAY,
20180504,WORKDAY,
20180505,WEEKEND,立夏
20180506,WEEKEND,
20180507,WORKDAY,
20180508,WORKDAY,
20180509,WORKDAY,
20180510,WORKDAY,
20180511,WORKDAY,
20180512,WEEKEND,
20180513,WEEKEND,
20180514,WORKDAY,
20180515,WORKDAY,
20180516,WORKDAY,
20180517,WORKDAY,
20180518,WORKDAY,
20180519,WEEKEND,
20180520,WEEKEND,
20180521,WORKDAY,小满
20180522,WORKDAY,
20180523,WORKDAY,
20180524,WORKDAY,
20180525,WORKDAY,
20180526,WEEKEND,
20180527,WEEKEND,
20180528,WORKDAY,
20180529,WORKDAY,
20180530,WORKDAY,
20180531,WORKDAY,
20180601,WORKDAY,儿童节
20180602,WEEKEND,
20180603,WEEKEND,
20180604,WORKDAY,
20180605,WORKDAY,
20180606,WORKDAY,芒种
20180607,WORKDAY,
20180608,WORKDAY,
20180609,WEEKEND,
20180610,WEEKEND,
20180611,WORKDAY,
20180612,WORKDAY,
20180613,WORKDAY,
20180614,WORKDAY,
20180615,WORKDAY,
20180616,HOLIDAY,端午
20180617,HOLIDAY,端午
20180618,HOLIDAY,端午
20180619,WORKDAY,
20180620,WORKDAY,
20180621,WORKDAY,
20180622,WORKDAY,
20180623,WEEKEND,
20180624,WEEKEND,
20180625,WORKDAY,
20180626,WORKDAY,
20180627,WORKDAY,
20180628,WORKDAY,
20180629,WORKDAY,
20180630,WEEKEND,
20180701,WEEKEND,
20180702,WORKDAY,
20180703,WORKDAY,
20180704,WORKDAY,
20180705,WORKDAY,
20180706,WORKDAY,
20180707,WEEKEND,小暑
20180708,WEEKEND,
20180709,WORKDAY,
20180710,WORKDAY,
20180711,WORKDAY,
20180712,WORKDAY,
20180713,WORKDAY,
20180714,WEEKEND,
20180715,WEEKEND,
20180716,WORKDAY,
20180717,WORKDAY,
20180718,WORKDAY,
20180719,WORKDAY,
20180720,WORKDAY,
20180721,WEEKEND,
20180722,WEEKEND,
20180723,WORKDAY,大暑
20180724,WORKDAY,
20180725,WORKDAY,
20180726,WORKDAY,
20180727,WORKDAY,
20180728,WEEKEND,
20180729,WEEKEND,
20180730,WORKDAY,
20180731,WORKDAY,
20180801,WORKDAY,建军节
20180802,WORKDAY,
20180803,WORKDAY,
20180804,WEEKEND,
20180805,WEEKEND,
20180806,WORKDAY,
20180807,WORKDAY,立秋
20180808,WORKDAY,
20180809,WORKDAY,
20180810,WORKDAY,
20180811,WEEKEND,
20180812,WEEKEND,
20180813,WORKDAY,
20180814,WORKDAY,
20180815,WORKDAY,
20180816,WORKDAY,
20180817,WORKDAY,
20180818,WEEKEND,
20180819,WEEKEND,
20180820,WORKDAY,
20180821,WORKDAY,
20180822,WORKDAY,
20180823,WORKDAY,处暑
20180824,WORKDAY,
20180825,WEEKEND,
20180826,WEEKEND,
20180827,WORKDAY,
20180828,WORKDAY,
20180829,WORKDAY,
20180830,WORKDAY,
20180831,WORKDAY,
20180901,WEEKEND,
20180902,WEEKEND,
20180903,WORKDAY,
20180904,WORKDAY,
20180905,WORKDAY,
20180906,WORKDAY,
20180907,WORKDAY,
20180908,WEEKEND,白露
20180909,WEEKEND,
20180910,WORKDAY,
20180911,WORKDAY,
20180912,WORKDAY,
20180913,WORKDAY,
20180914,WORKDAY,
20180915,WEEKEND,
20180916,WEEKEND,
20180917,WORKDAY,
20180918,WORKDAY,
20180919,WORKDAY,
20180920,WORKDAY,
20180921,WORKDAY,
20180922,HOLIDAY,中秋
20180923,HOLIDAY,中秋
20180924,HOLIDAY,中秋
20180925,WORKDAY,
20180926,WORKDAY,
20180927,WORKDAY,
20180928,WORKDAY,
20180929,WORKDAY,
20180930,WORKDAY,
20181001,HOLIDAY,国庆节
20181002,HOLIDAY,国庆节
20181003,HOLIDAY,国庆节
20181004,HOLIDAY,国庆节
20181005,HOLIDAY,国庆节
20181006,HOLIDAY,国庆节
20181007,HOLIDAY,国庆节
20181008,WORKDAY,寒露
20181009,WORKDAY,
20181010,WORKDAY,
20181011,WORKDAY,
20181012,WORKDAY,
20181013,WEEKEND,
20181014,WEEKEND,
20181015,WORKDAY,
20181016,WORKDAY,
20181017,WORKDAY,重阳节
20181018,WORKDAY,
20181019,WORKDAY,
20181020,WEEKEND,
20181021,WEEKEND,
20181022,WORKDAY,
20181023,WORKDAY,霜降
20181024,WORKDAY,
20181025,WORKDAY,
20181026,WORKDAY,
20181027,WEEKEND,
20181028,WEEKEND,
20181029,WORKDAY,
20181030,WORKDAY,
20181031,WORKDAY,
20181101,WORKDAY,
20181102,WORKDAY,
20181103,WEEKEND,
20181104,WEEKEND,
20181105,WORKDAY,
20181106,WORKDAY,
20181107,WORKDAY,立冬
20181108,WORKDAY,
20181109,WORKDAY,
20181110,WEEKEND,
20181111,WEEKEND,
20181112,WORKDAY,
20181113,WORKDAY,
20181114,WORKDAY,
20181115,WORKDAY,
20181116,WORKDAY,
20181117,WEEKEND,
20181118,WEEKEND,
20181119,WORKDAY,
20181120,WORKDAY,
20181121,WORKDAY,
20181122,WORKDAY,感恩节
20181123,WORKDAY,
20181124,WEEKEND,
20181125,WEEKEND,
20181126,WORKDAY,
20181127,WORKDAY,
20181128,WORKDAY,
20181129,WORKDAY,
20181130,WORKDAY,
20181201,WEEKEND,
20181202,WEEKEND,
20181203,WORKDAY,
20181204,WORKDAY,
20181205,WORKDAY,
20181206,WORKDAY,
20181207,WORKDAY,大雪
20181208,WEEKEND,
20181209,WEEKEND,
20181210,WORKDAY,
20181211,WORKDAY,
20181212,WORKDAY,
20181213,WORKDAY,
20181214,WORKDAY,
20181215,WEEKEND,
20181216,WEEKEND,
20181217,WORKDAY,
20181218,WORKDAY,
20181219,WORKDAY,
20181220,WORKDAY,
20181221,WORKDAY,
20181222,WEEKEND,
20181223,WEEKEND,
20181224,WORKDAY,平安夜
20181225,WORKDAY,圣诞节
20181226,WORKDAY,
20181227,WORKDAY,
20181228,WORKDAY,
20181229,WEEKEND,
20181230,WEEKEND,
20181231,WORKDAY,
